virus,virusLabel,host,hostLabel,disease,diseaseLabel,diseaseType,diseaseTypeLabel
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q20980826,Felis catus,http://www.wikidata.org/entity/Q81068910,COVID-19 pandemisi,http://www.wikidata.org/entity/Q12184,pandemi
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q20980826,Felis catus,http://www.wikidata.org/entity/Q81068910,COVID-19 pandemisi,http://www.wikidata.org/entity/Q3241045,hastalık salgını
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q20980826,Felis catus,http://www.wikidata.org/entity/Q81068910,COVID-19 pandemisi,http://www.wikidata.org/entity/Q12367307,complex emergency
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q20980826,Felis catus,http://www.wikidata.org/entity/Q81068910,COVID-19 pandemisi,http://www.wikidata.org/entity/Q17076801,uluslararası önemi haiz halk sağlığı acil durumu
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q20980826,Felis catus,http://www.wikidata.org/entity/Q84263196,COVID-19,http://www.wikidata.org/entity/Q609748,emerging communicable disease
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q20980826,Felis catus,http://www.wikidata.org/entity/Q84263196,COVID-19,http://www.wikidata.org/entity/Q2633267,Atipik pnömoni
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q20980826,Felis catus,http://www.wikidata.org/entity/Q84263196,COVID-19,http://www.wikidata.org/entity/Q112193867,class of disease
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q20717272,Canis familiaris,http://www.wikidata.org/entity/Q81068910,COVID-19 pandemisi,http://www.wikidata.org/entity/Q12184,pandemi
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q20717272,Canis familiaris,http://www.wikidata.org/entity/Q81068910,COVID-19 pandemisi,http://www.wikidata.org/entity/Q3241045,hastalık salgını
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q20717272,Canis familiaris,http://www.wikidata.org/entity/Q81068910,COVID-19 pandemisi,http://www.wikidata.org/entity/Q12367307,complex emergency
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q20717272,Canis familiaris,http://www.wikidata.org/entity/Q81068910,COVID-19 pandemisi,http://www.wikidata.org/entity/Q17076801,uluslararası önemi haiz halk sağlığı acil durumu
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q20717272,Canis familiaris,http://www.wikidata.org/entity/Q84263196,COVID-19,http://www.wikidata.org/entity/Q609748,emerging communicable disease
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q20717272,Canis familiaris,http://www.wikidata.org/entity/Q84263196,COVID-19,http://www.wikidata.org/entity/Q2633267,Atipik pnömoni
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q20717272,Canis familiaris,http://www.wikidata.org/entity/Q84263196,COVID-19,http://www.wikidata.org/entity/Q112193867,class of disease
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q15978631,Homo sapiens,http://www.wikidata.org/entity/Q81068910,COVID-19 pandemisi,http://www.wikidata.org/entity/Q12184,pandemi
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q15978631,Homo sapiens,http://www.wikidata.org/entity/Q81068910,COVID-19 pandemisi,http://www.wikidata.org/entity/Q3241045,hastalık salgını
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q15978631,Homo sapiens,http://www.wikidata.org/entity/Q81068910,COVID-19 pandemisi,http://www.wikidata.org/entity/Q12367307,complex emergency
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q15978631,Homo sapiens,http://www.wikidata.org/entity/Q81068910,COVID-19 pandemisi,http://www.wikidata.org/entity/Q17076801,uluslararası önemi haiz halk sağlığı acil durumu
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q15978631,Homo sapiens,http://www.wikidata.org/entity/Q84263196,COVID-19,http://www.wikidata.org/entity/Q609748,emerging communicable disease
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q15978631,Homo sapiens,http://www.wikidata.org/entity/Q84263196,COVID-19,http://www.wikidata.org/entity/Q2633267,Atipik pnömoni
http://www.wikidata.org/entity/Q82069695,Şiddetli akut solunum yolu sendromu koronavirüsü 2,http://www.wikidata.org/entity/Q15978631,Homo sapiens,http://www.wikidata.org/entity/Q84263196,COVID-19,http://www.wikidata.org/entity/Q112193867,class of disease
